time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/explained_variance,train/entropy_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/policy_gradient_loss,rollout/ep_len_mean,train/std,train/value_loss,rollout/ep_rew_mean,train/n_updates,train/approx_kl,train/loss
476,842,49,401408,0.9823723044246435,-7.293984821811319,0.117578125,0.4,3e-05,-0.04016839230571349,484.09,0.11031462997198105,0.09187190447628382,27.19588433,960,0.052257054,-0.07158082723617554
476,860,50,409600,0.9731476753950119,-7.452765847742557,0.090155029296875,0.4,3e-05,-0.035098938810551775,488.53,0.11011944711208344,0.20716997775598428,26.364108599999994,980,0.0413361,0.05276408791542053
476,877,51,417792,0.9720723368227482,-7.248051200434565,0.093621826171875,0.4,3e-05,-0.03923065424205561,488.7,0.11006727069616318,0.22952725919749356,25.6315428,1000,0.037127115,-0.03151557594537735
476,894,52,425984,0.9757235292345285,-7.452342322841287,0.089947509765625,0.4,3e-05,-0.02811847666889662,496.69,0.10975021123886108,0.22919605814822716,25.811620340000005,1020,0.032579973,-0.042172398418188095
476,912,53,434176,0.9780810102820396,-7.501981770992279,0.111138916015625,0.4,3e-05,-0.03782933101174422,503.74,0.10904239863157272,0.148905344348168,24.86645452,1040,0.05105247,-0.026966296136379242
476,929,54,442368,0.9786142706871033,-7.299225339666009,0.06934814453125,0.4,3e-05,-0.028827974988962522,489.81,0.10812326520681381,0.23113392553495943,25.17719869,1060,0.029952016,-0.0008102208375930786
475,946,55,450560,0.9856521030887961,-7.269932142272592,0.112628173828125,0.4,3e-05,-0.03632438500972057,470.27,0.10758797824382782,0.0863345831312472,25.255657959999997,1080,0.053487275,-0.06147574633359909
479,956,56,458752,0.9834700878709555,-7.353640319779515,0.086639404296875,0.4,3e-05,-0.027542161064047832,458.46,0.10711775720119476,0.11202135343337431,26.677327100000003,1100,0.035414618,-0.034666258841753006
479,974,57,466944,0.9914490031078458,-7.446144706383348,0.085528564453125,0.4,3e-05,-0.034694847688660956,449.69,0.10666831582784653,0.08642512848455226,26.739777800000002,1120,0.036393926,0.0016034096479415894
479,991,58,475136,0.9892498888075352,-7.409844211116433,0.056982421875,0.4,3e-05,-0.027224395328448735,428.28,0.1064521074295044,0.10150488249200862,28.074137199999996,1140,0.027050462,-0.0342215821146965
478,1009,59,483328,0.9914884502068162,-7.547467733547092,0.1102294921875,0.4,3e-05,-0.03208660966156458,434.28,0.10576683282852173,0.09557992778863991,27.612237539999995,1160,0.036308207,0.005213715136051178
478,1026,60,491520,0.9889177177101374,-7.502512633427978,0.068603515625,0.4,3e-05,-0.02981794107472524,418.6,0.10498868674039841,0.05159856468017097,28.559038720000004,1180,0.028959423,-0.037231847643852234
478,1044,61,499712,0.9958330313675106,-7.508185436949134,0.11744384765625,0.4,3e-05,-0.03841759744900628,417.49,0.10431140661239624,0.046456114962347785,28.625361870000003,1200,0.041064754,-0.027187692001461983
478,1061,62,507904,0.9925446738488972,-7.582890977710486,0.11055908203125,0.4,3e-05,-0.04158515672716021,413.47,0.10396161675453186,0.043393908394136815,29.121128380000002,1220,0.047288965,-0.03247929364442825
478,1079,63,516096,0.9942389572970569,-7.412347810715437,0.09385986328125,0.4,3e-05,-0.03795529432463809,428.37,0.10358365625143051,0.04963677229170571,28.51471339,1240,0.03542977,-0.03178407996892929
478,1096,64,524288,0.9864741722121835,-7.323885680735112,0.1068603515625,0.4,3e-05,-0.04680041975807399,422.54,0.10334736108779907,0.07906170206479146,28.7004159,1260,0.077604026,-0.03287144750356674
478,1113,65,532480,0.9923475910909474,-7.538667327165603,0.0857177734375,0.4,3e-05,-0.02955558747416944,429.21,0.1029590368270874,0.07282340166057111,28.476116320000003,1280,0.033909358,-0.009747572243213654
481,1123,66,540672,0.9859282970428467,-7.397337620332837,0.089031982421875,0.4,3e-05,-0.03326751900094678,435.97,0.10280773043632507,0.10741084883848089,28.238904959999996,1300,0.04235587,-0.021025240421295166
480,1141,67,548864,0.9831917267292738,-7.5108347471803425,0.08189697265625,0.4,3e-05,-0.034218578423315195,439.05,0.10258595645427704,0.1889302827301435,28.299307960000007,1320,0.03971766,-0.031096121296286583
480,1158,68,557056,0.9971287460066378,-7.438711076974869,0.109564208984375,0.4,3e-05,-0.042150525012766595,432.97,0.1016177237033844,0.033153849876543975,28.836696419999996,1340,0.035180584,-0.05986589193344116
483,1168,69,565248,0.9946657116524875,-7.5524562411010265,0.0869140625,0.4,3e-05,-0.03582951580501685,429.47,0.10113197565078735,0.04369593680312391,28.7143797,1360,0.036570173,-0.03151603043079376
483,1186,70,573440,0.994096006732434,-7.49716796092689,0.08255615234375,0.4,3e-05,-0.03175011694074783,429.74,0.10037663578987122,0.06707872878978378,29.041758929999997,1380,0.038516268,-0.018026424571871758
483,1203,71,581632,0.993874978274107,-7.495043119415641,0.11156005859375,0.4,3e-05,-0.03993478007578233,398.41,0.09988854825496674,0.06102246391237713,29.025094399999997,1400,0.04447281,-0.05012347549200058
482,1221,72,589824,0.997514032991603,-7.503320710361004,0.12305908203125,0.4,3e-05,-0.03541961295268266,399.03,0.09945408999919891,0.020813668185655842,28.572346149999998,1420,0.041461423,-0.045093487948179245
482,1238,73,598016,0.9887147350236773,-7.34439456909895,0.1046630859375,0.4,3e-05,-0.047501186730369224,394.69,0.09907935559749603,0.06056648586454685,28.43973908,1440,0.053402692,-0.03318892791867256
482,1256,74,606208,0.984692313708365,-7.555148848518729,0.10653076171875,0.4,3e-05,-0.036761686236059174,415.04,0.09919222444295883,0.05951036143960664,28.110132660000005,1460,0.050368257,-0.01526295393705368
